image_path,true_label,predicted_label,prob_real,prob_fake,true_class,predicted_class,correct
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/6536.jpg,0,1,6.140476e-05,0.9999386,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/12358.jpg,0,1,0.0040922924,0.99590766,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/5700.jpg,0,1,0.0103721395,0.98962784,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/11810.jpg,0,1,0.015741372,0.98425865,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/8994.jpg,0,1,0.017124576,0.98287547,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/2584.jpg,0,1,0.01898449,0.98101556,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/5847.jpg,0,1,0.019844646,0.9801554,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/test/real/4193.jpg,0,1,0.020596558,0.97940344,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/test/real/2865.jpg,0,1,0.022416588,0.9775834,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/20221.jpg,0,1,0.031123636,0.96887636,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/test/real/3738.jpg,0,1,0.055849053,0.9441509,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/16898.jpg,0,1,0.060227804,0.93977225,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/18070.jpg,0,1,0.06300532,0.9369947,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/13047.jpg,0,1,0.068809085,0.9311909,real,fake,False
