image_path,true_label,predicted_label,prob_real,prob_fake,true_class,predicted_class,correct
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/11352.jpg,1,0,0.9955576,0.004442361,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/4352.jpg,1,0,0.9906777,0.009322247,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/23536.png,1,0,0.9763381,0.023661893,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/5697.jpg,1,0,0.96745735,0.03254261,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/12533.jpg,1,0,0.96234477,0.03765524,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/7192.jpg,1,0,0.9522087,0.04779133,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/1714.png,1,0,0.94954324,0.05045668,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/16312.png,1,0,0.9491472,0.05085274,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/6665.jpg,1,0,0.9469557,0.053044315,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/6412.jpg,1,0,0.93717295,0.06282704,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/test/fake/3483.jpg,1,0,0.93536025,0.06463973,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/9249.jpg,1,0,0.9197605,0.08023942,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/18175.png,1,0,0.9010346,0.09896533,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/15502.jpg,1,0,0.87272817,0.12727182,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/7269.jpg,1,0,0.84769547,0.15230452,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/9840.jpg,1,0,0.8409178,0.15908213,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/19251.png,1,0,0.8356103,0.16438973,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/10232.jpg,1,0,0.8188485,0.1811515,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/4770.jpg,1,0,0.81175804,0.1882419,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/6208.jpg,1,0,0.7962289,0.2037711,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/18638.png,1,0,0.7952448,0.20475525,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/0694.jpg,1,0,0.7749541,0.22504596,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/test/fake/5655.jpg,1,0,0.74084985,0.25915012,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/5366.jpg,1,0,0.71520805,0.28479198,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/11158.jpg,1,0,0.6887143,0.3112857,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/14654.jpg,1,0,0.6740184,0.32598162,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/5456.jpg,1,0,0.6656642,0.33433583,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/20767.png,1,0,0.6625431,0.33745685,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/16060.jpg,1,0,0.6476016,0.35239843,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/4002.jpg,1,0,0.6276637,0.3723363,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/22855.png,1,0,0.60226154,0.39773843,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/17739.png,1,0,0.59445417,0.4055458,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/14082.jpg,1,0,0.59155923,0.40844074,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/9998.jpg,1,0,0.58213764,0.41786236,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/11143.jpg,1,0,0.53117204,0.46882796,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/15007.jpg,1,0,0.5129748,0.48702517,fake,real,False
